** World Map Location info
** name : row : col : fromMapIndex : getMapIndex : terrain : teleporter : monsterFrequencies : riddlePoints
TEMP:-1:-1:-1:-1:0:(-1 -1 -1 ?):[]:[]
ship:-1:-1:-1:-1:0:(-1 -1 -1 ?):[]:[]
Thutetos cavern:766:431:0:-1:35:(2 -1 -1 ?):[]:[]
Lower Bumetden:717:245:0:-1:33:(2 -1 -1 ?):[]:[]
Temucking Proper:361:769:0:-1:22:(2 -1 -1 ?):[]:[]
Stuburos den:198:4:0:-1:35:(2 -1 -1 ?):[]:[]
Old Goruspen:161:570:0:-1:34:(2 -1 -1 ?):[]:[]
Gudob den:312:291:0:-1:37:(2 -1 -1 ?):[]:[]
Sidimhope Township:587:738:0:-1:23:(2 -1 -1 ?):[]:[]
Old Totebchester:453:22:0:-1:34:(2 -1 -1 ?):[]:[]
Shodar grotto:666:805:0:-1:35:(2 -1 -1 ?):[]:[]
Fabapim Township:635:206:0:-1:33:(2 -1 -1 ?):[]:[]
Cudelhope Cove:739:159:0:-1:34:(2 -1 -1 ?):[]:[]
Fubab Crossing:782:57:0:-1:41:(2 -1 -1 ?):[]:[]
Jonpont City:439:585:0:-1:26:(2 -1 -1 ?):[]:[]
Tidacom Commons:267:75:0:-1:26:(2 -1 -1 ?):[]:[]
Pedburgh Inlet:537:938:0:-1:34:(2 -1 -1 ?):[]:[]
Rucer grotto:160:336:0:-1:35:(2 -1 -1 ?):[]:[]
Josdale Manor:678:559:0:-1:32:(2 -1 -1 ?):[]:[]
New Topobun:124:162:0:-1:21:(2 -1 -1 ?):[]:[]
Makec Cathedral:89:330:0:-1:24:(2 -1 -1 ?):[]:[]
Rakus cave:725:69:0:-1:35:(2 -1 -1 ?):[]:[]
Lulon den:36:619:0:-1:35:(2 -1 -1 ?):[]:[]
Stebukus cave:366:161:0:-1:36:(2 -1 -1 ?):[]:[]
Waters Jotikberry:215:556:0:-1:34:(2 -1 -1 ?):[]:[]
Thecimen Bay:838:955:0:-1:34:(2 -1 -1 ?):[]:[]
Kisal Cathedral:83:918:0:-1:24:(2 -1 -1 ?):[]:[]
Jodos burrow:762:711:0:-1:36:(2 -1 -1 ?):[]:[]
Tekem Mission:800:55:0:-1:24:(2 -1 -1 ?):[]:[]
New Sidinden:636:183:0:-1:33:(2 -1 -1 ?):[]:[]
Fanumem City:510:39:0:-1:32:(2 -1 -1 ?):[]:[]
Farok fount:339:851:0:-1:38:(2 -1 -1 ?):[]:[]
Remusshire Proper:365:971:0:-1:21:(2 -1 -1 ?):[]:[]
Middle Hiniduc:878:568:0:-1:33:(2 -1 -1 ?):[]:[]
Gimia Docks:284:916:0:-1:34:(2 -1 -1 ?):[]:[]
Thepanat Gorge:439:871:0:-1:41:(2 -1 -1 ?):[]:[]
Stucek Shrine:725:230:0:-1:24:(2 -1 -1 ?):[]:[]

